Winnipeg,NY Rangers,12/2/2013
New Jersey,Montreal,12/2/2013
Philadelphia,Minnesota,12/2/2013
St. Louis,Los Angeles,12/2/2013
Carolina,Washington,12/3/2013
Pittsburgh,NY Islanders,12/3/2013
San Jose,Toronto,12/3/2013
Tampa Bay,Columbus,12/3/2013
Ottawa,Florida,12/3/2013
Dallas,Chicago,12/3/2013
Vancouver,Nashville,12/3/2013
Phoenix,Edmonton,12/3/2013
Los Angeles,Anaheim,12/3/2013
Montreal,New Jersey,12/4/2013
Philadelphia,Detroit,12/4/2013
Phoenix,Calgary,12/4/2013
Dallas,Toronto,12/5/2013
NY Rangers,Buffalo,12/5/2013
San Jose,Pittsburgh,12/5/2013
Boston,Montreal,12/5/2013
Ottawa,Tampa Bay,12/5/2013
Winnipeg,Florida,12/5/2013
Carolina,Nashville,12/5/2013
Chicago,Minnesota,12/5/2013
NY Islanders,St. Louis,12/5/2013
Colorado,Edmonton,12/5/2013
Detroit,New Jersey,12/6/2013
Minnesota,Columbus,12/6/2013
San Jose,Carolina,12/6/2013
Anaheim,Chicago,12/6/2013
Colorado,Calgary,12/6/2013
Phoenix,Vancouver,12/6/2013
Buffalo,Montreal,12/7/2013
Florida,Detroit,12/7/2013
Nashville,Washington,12/7/2013
Pittsburgh,Boston,12/7/2013
Toronto,Ottawa,12/7/2013
Winnipeg,Tampa Bay,12/7/2013
New Jersey,NY Rangers,12/7/2013
Anaheim,St. Louis,12/7/2013
Philadelphia,Dallas,12/7/2013
Calgary,Edmonton,12/7/2013
NY Islanders,Los Angeles,12/7/2013
San Jose,Minnesota,12/8/2013
Boston,Toronto,12/8/2013
Florida,Chicago,12/8/2013
Washington,NY Rangers,12/8/2013
Colorado,Vancouver,12/8/2013
